Date,Close+Open/2,Daily avg,sums,how many hrs,Diff from avg
2018-06-26 23:00:00,6115.755,,,,=B2-C25,
2018-06-26 22:00:00,6187.065,,,,=B3-C25,
2018-06-26 21:00:00,6199.97,,,,=B4-C25,
2018-06-26 20:00:00,6176.205,,,,=B5-C25,
2018-06-26 19:00:00,6170.02,,,,=B6-C25,
2018-06-26 18:00:00,6182.5,,,,=B7-C25,
2018-06-26 17:00:00,6189.995,,,,=B8-C25,
2018-06-26 16:00:00,6185,,,,=B9-C25,
2018-06-26 15:00:00,6183.005,,,,=B10-C25,
2018-06-26 14:00:00,6175.13,,,,=B11-C25,
2018-06-26 13:00:00,6188.59,,,,=B12-C25,
2018-06-26 12:00:00,6205.715,,,,=B13-C25,
2018-06-26 11:00:00,6212.46,,,,=B14-C25,
2018-06-26 10:00:00,6205.01,,,,=B15-C25,
2018-06-26 09:00:00,6202.8,,,,=B16-C25,
2018-06-26 08:00:00,6221.785,,,,=B17-C25,
2018-06-26 07:00:00,6231.54,,,,=B18-C25,
2018-06-26 06:00:00,6243.25,,,,=B19-C25,
2018-06-26 05:00:00,6248.405,,,,=B20-C25,
2018-06-26 04:00:00,6242.415,,,,=B21-C25,
2018-06-26 03:00:00,6239.545,,,,=B22-C25,
2018-06-26 02:00:00,6234.64,,,,=B23-C25,
2018-06-26 01:00:00,6210.44,,,,=B24-C25,
2018-06-26 00:00:00,6219.345,=D25/E25,=SUM(B2:B25),24,=B25-C25,=SUM(F2:F25)
2018-06-25 23:00:00,6240.735,,,,=B26-C49,
2018-06-25 22:00:00,6247.73,,,,=B27-C49,
2018-06-25 21:00:00,6255.18,,,,=B28-C49,
2018-06-25 20:00:00,6254.45,,,,=B29-C49,
2018-06-25 19:00:00,6261.77,,,,=B30-C49,
2018-06-25 18:00:00,6272.505,,,,=B31-C49,
2018-06-25 17:00:00,6278.01,,,,=B32-C49,
2018-06-25 16:00:00,6282.755,,,,=B33-C49,
2018-06-25 15:00:00,6291.75,,,,=B34-C49,
2018-06-25 14:00:00,6215.065,,,,=B35-C49,
2018-06-25 13:00:00,6122.91,,,,=B36-C49,
2018-06-25 12:00:00,6169.125,,,,=B37-C49,
2018-06-25 11:00:00,6205.9,,,,=B38-C49,
2018-06-25 10:00:00,6174.115,,,,=B39-C49,
2018-06-25 09:00:00,6159.21,,,,=B40-C49,
2018-06-25 08:00:00,6153.145,,,,=B41-C49,
2018-06-25 07:00:00,6159.375,,,,=B42-C49,
2018-06-25 06:00:00,6158.06,,,,=B43-C49,
2018-06-25 05:00:00,6145.78,,,,=B44-C49,
2018-06-25 04:00:00,6138.665,,,,=B45-C49,
2018-06-25 03:00:00,6135.235,,,,=B46-C49,
2018-06-25 02:00:00,6139.55,,,,=B47-C49,
2018-06-25 01:00:00,6157.065,,,,=B48-C49,
2018-06-25 00:00:00,6159.745,=D49/E49,=SUM(B26:B49),24,=B49-C49,=SUM(F26:F49)
2018-06-24 23:00:00,6148.235,,,,=B50-C73,
2018-06-24 22:00:00,6151.12,,,,=B51-C73,
2018-06-24 21:00:00,6169.005,,,,=B52-C73,
2018-06-24 20:00:00,6180.38,,,,=B53-C73,
2018-06-24 19:00:00,6180,,,,=B54-C73,
2018-06-24 18:00:00,6184.935,,,,=B55-C73,
2018-06-24 17:00:00,6194.19,,,,=B56-C73,
2018-06-24 16:00:00,5989.055,,,,=B57-C73,
2018-06-24 15:00:00,5851.5,,,,=B58-C73,
2018-06-24 14:00:00,5936.03,,,,=B59-C73,
2018-06-24 13:00:00,5931.95,,,,=B60-C73,
2018-06-24 12:00:00,5921.275,,,,=B61-C73,
2018-06-24 11:00:00,5933.91,,,,=B62-C73,
2018-06-24 10:00:00,5917.99,,,,=B63-C73,
2018-06-24 09:00:00,5878.765,,,,=B64-C73,
2018-06-24 08:00:00,5863.645,,,,=B65-C73,
2018-06-24 07:00:00,5881.225,,,,=B66-C73,
2018-06-24 06:00:00,5904.73,,,,=B67-C73,
2018-06-24 05:00:00,5914.76,,,,=B68-C73,
2018-06-24 04:00:00,6001.885,,,,=B69-C73,
2018-06-24 03:00:00,6102.585,,,,=B70-C73,
2018-06-24 02:00:00,6113.78,,,,=B71-C73,
2018-06-24 01:00:00,6119.7,,,,=B72-C73,
2018-06-24 00:00:00,6155.15,=D73/E73,=SUM(B50:B73),24,=B73-C73,=SUM(F50:F73)
2018-06-23 23:00:00,6189.245,,,,=B74-C97,
2018-06-23 22:00:00,6216.52,,,,=B75-C97,
2018-06-23 21:00:00,6183.385,,,,=B76-C97,
2018-06-23 20:00:00,6138.87,,,,=B77-C97,
2018-06-23 19:00:00,6144.395,,,,=B78-C97,
2018-06-23 18:00:00,6143.08,,,,=B79-C97,
2018-06-23 17:00:00,6135.09,,,,=B80-C97,
2018-06-23 16:00:00,6120.62,,,,=B81-C97,
2018-06-23 15:00:00,6121.735,,,,=B82-C97,
2018-06-23 14:00:00,6145.615,,,,=B83-C97,
2018-06-23 13:00:00,6151.955,,,,=B84-C97,
2018-06-23 12:00:00,6147.33,,,,=B85-C97,
2018-06-23 11:00:00,6146.95,,,,=B86-C97,
2018-06-23 10:00:00,6141.075,,,,=B87-C97,
2018-06-23 09:00:00,6121.51,,,,=B88-C97,
2018-06-23 08:00:00,6112.15,,,,=B89-C97,
2018-06-23 07:00:00,6092.155,,,,=B90-C97,
2018-06-23 06:00:00,6084.65,,,,=B91-C97,
2018-06-23 05:00:00,6119.28,,,,=B92-C97,
2018-06-23 04:00:00,6121.645,,,,=B93-C97,
2018-06-23 03:00:00,6122.94,,,,=B94-C97,
2018-06-23 02:00:00,6139.94,,,,=B95-C97,
2018-06-23 01:00:00,6146.905,,,,=B96-C97,
2018-06-23 00:00:00,6104.815,=D97/E97,=SUM(B74:B97),24,=B97-C97,=SUM(F74:F97)
2018-06-22 23:00:00,6070.705,,,,=B98-C121,
2018-06-22 22:00:00,6056.93,,,,=B99-C121,
2018-06-22 21:00:00,6056.32,,,,=B100-C121,
2018-06-22 20:00:00,6137.85,,,,=B101-C121,
2018-06-22 19:00:00,6210.77,,,,=B102-C121,
2018-06-22 18:00:00,6191.515,,,,=B103-C121,
2018-06-22 17:00:00,6167.98,,,,=B104-C121,
2018-06-22 16:00:00,6169.56,,,,=B105-C121,
2018-06-22 15:00:00,6166.99,,,,=B106-C121,
2018-06-22 14:00:00,6147,,,,=B107-C121,
2018-06-22 13:00:00,6230.405,,,,=B108-C121,
2018-06-22 12:00:00,6350.46,,,,=B109-C121,
2018-06-22 11:00:00,6366.555,,,,=B110-C121,
2018-06-22 10:00:00,6340.835,,,,=B111-C121,
2018-06-22 09:00:00,6354.33,,,,=B112-C121,
2018-06-22 08:00:00,6454.235,,,,=B113-C121,
2018-06-22 07:00:00,6579.005,,,,=B114-C121,
2018-06-22 06:00:00,6655.22,,,,=B115-C121,
2018-06-22 05:00:00,6661.785,,,,=B116-C121,
2018-06-22 04:00:00,6666.325,,,,=B117-C121,
2018-06-22 03:00:00,6666.415,,,,=B118-C121,
2018-06-22 02:00:00,6649.915,,,,=B119-C121,
2018-06-22 01:00:00,6679.5,,,,=B120-C121,
2018-06-22 00:00:00,6720.51,=D121/E121,=SUM(B98:B121),24,=B121-C121,=SUM(F98:F121)
2018-06-21 23:00:00,6719.89,,,,=B122-C145,
2018-06-21 22:00:00,6715.915,,,,=B123-C145,
2018-06-21 21:00:00,6714.19,,,,=B124-C145,
2018-06-21 20:00:00,6715.56,,,,=B125-C145,
2018-06-21 19:00:00,6704.4,,,,=B126-C145,
2018-06-21 18:00:00,6705.475,,,,=B127-C145,
2018-06-21 17:00:00,6716.425,,,,=B128-C145,
2018-06-21 16:00:00,6717.945,,,,=B129-C145,
2018-06-21 15:00:00,6720.995,,,,=B130-C145,
2018-06-21 14:00:00,6724.56,,,,=B131-C145,
