Date,Close
2018-06-18,519.4
2018-06-17,497.08
2018-06-16,497.02
2018-06-15,487.27
2018-06-14,519.85
2018-06-13,476.15
2018-06-12,494.25
2018-06-11,530.77
2018-06-10,523.55
2018-06-09,593.2
2018-06-08,599.9
2018-06-07,605.39
2018-06-06,606.67
2018-06-05,608.69
2018-06-04,591.09
2018-06-03,619.4
2018-06-02,590.44
2018-06-01,579.24
2018-05-31,577
2018-05-30,557.01
2018-05-29,566.98
2018-05-28,511.98
2018-05-27,569
2018-05-26,585.6
2018-05-25,584.42
2018-05-24,602.52
2018-05-23,576.89
2018-05-22,640
2018-05-21,696.13
2018-05-20,715.5
2018-05-19,695.87
2018-05-18,693.61
2018-05-17,667.84
2018-05-16,706.57
2018-05-15,705.06
2018-05-14,727.41
2018-05-13,728.78
2018-05-12,683.32
2018-05-11,677.99
2018-05-10,723.38
2018-05-09,751.86
2018-05-08,747.94
2018-05-07,752.14
2018-05-06,793.79
2018-05-05,819.69
2018-05-04,785.52
2018-05-03,779.39
2018-05-02,688
2018-05-01,671.01
2018-04-30,670.33
2018-04-29,689.93
2018-04-28,683.27
2018-04-27,643.49
2018-04-26,661
2018-04-25,618.09
2018-04-24,702.98
2018-04-23,643.98
2018-04-22,621.11
2018-04-21,604.62
2018-04-20,616.44
2018-04-19,566.92
2018-04-18,525.55
2018-04-17,503.13
2018-04-16,511.29
2018-04-15,534.04
2018-04-14,502.44
2018-04-13,495.93
2018-04-12,493.55
2018-04-11,429.74
2018-04-10,415.12
2018-04-09,398.82
2018-04-08,400.33
2018-04-07,384.16
2018-04-06,369.73
2018-04-05,380.99
2018-04-04,377.99
2018-04-03,415.44
2018-04-02,384.25
2018-04-01,378.67
2018-03-31,393.37
2018-03-30,393.08
2018-03-29,384.11
2018-03-28,445.43
2018-03-27,448.22
2018-03-26,485.2
2018-03-25,522.41
2018-03-24,518.8
2018-03-23,543.85
2018-03-22,539.19
2018-03-21,558.78
2018-03-20,556.38
2018-03-19,554.99
2018-03-18,536.73
2018-03-17,548.82
2018-03-16,598.77
2018-03-15,609.9
2018-03-14,610.91
2018-03-13,688.49
2018-03-12,696.52
2018-03-11,719.86
2018-03-10,679.68
2018-03-09,724.61
2018-03-08,697.3
2018-03-07,749.2
2018-03-06,814.45
2018-03-05,848.13
2018-03-04,866.06
2018-03-03,855.29
2018-03-02,854.5
2018-03-01,869.24
2018-02-28,851.26
2018-02-27,871.33
2018-02-26,867.77
2018-02-25,838.47
2018-02-24,831.51
2018-02-23,852.56
2018-02-22,802.85
2018-02-21,837.79
2018-02-20,883.91
2018-02-19,939.19
2018-02-18,913.13
2018-02-17,973.28
2018-02-16,937.38
2018-02-15,925.02
2018-02-14,919.13
2018-02-13,839.83
2018-02-12,866.4
2018-02-11,810.46
2018-02-10,851.09
2018-02-09,878.01
2018-02-08,813.11
2018-02-07,752.8
2018-02-06,782.99
2018-02-05,698.62
2018-02-04,825.3
2018-02-03,972.1
2018-02-02,923.13
2018-02-01,1035
2018-01-31,1120
2018-01-30,1076.9
2018-01-29,1174.3
2018-01-28,1245.5
2018-01-27,1113.9
2018-01-26,1046.9
2018-01-25,1048.2
2018-01-24,1061.6
2018-01-23,981.8
2018-01-22,997.52
2018-01-21,1047.7
2018-01-20,1146.3
2018-01-19,1032.6
2018-01-18,994
2018-01-17,1021.6
2018-01-16,1019.6
2018-01-15,1276.9
2018-01-14,1349.7
2018-01-13,1379.9
2018-01-12,1257
2018-01-11,1135.1
2018-01-10,1246.9
2018-01-09,1283.8
2018-01-08,1129
2018-01-07,1115.8
2018-01-06,1004.3
2018-01-05,962.77
2018-01-04,940
2018-01-03,942.01
2018-01-02,858.78
2018-01-01,752.46
2017-12-31,736.77
2017-12-30,682.22
2017-12-29,731.52
2017-12-28,711.42
2017-12-27,736.45
2017-12-26,749.8
2017-12-25,709.81
2017-12-24,659.89
2017-12-23,672.59
2017-12-22,628.19
2017-12-21,786.97
