Date,Close+Open/2,Daily avg,sums,how many hrs,Diff from avg
2018-06-16 20:00:00,6512.07,,,0,=B2-C23
2018-06-16 19:00:00,6503.825,,,0,=B3-C23
2018-06-16 18:00:00,6518.46,,,0,=B4-C23
2018-06-16 17:00:00,6523.955,,,0,=B5-C23
2018-06-16 16:00:00,6442.245,,,0,=B6-C23
2018-06-16 15:00:00,6389.465,,,0,=B7-C23
2018-06-16 14:00:00,6410.37,,,0,=B8-C23
2018-06-16 13:00:00,6421.425,,,0,=B9-C23
2018-06-16 12:00:00,6446.11,,,0,=B10-C23
2018-06-16 11:00:00,6462.85,,,0,=B11-C23
2018-06-16 10:00:00,6466.345,,,0,=B12-C23
2018-06-16 09:00:00,6457.495,,,0,=B13-C23
2018-06-16 08:00:00,6455.995,,,0,=B14-C23
2018-06-16 07:00:00,6460.69,,,0,=B15-C23
2018-06-16 06:00:00,6461.055,,,0,=B16-C23
2018-06-16 05:00:00,6444.86,,,0,=B17-C23
2018-06-16 04:00:00,6424.105,,,0,=B18-C23
2018-06-16 03:00:00,6436.39,,,0,=B19-C23
2018-06-16 02:00:00,6451.545,,,0,=B20-C23
2018-06-16 01:00:00,6422.76,,,0,=B21-C23
2018-06-16 00:00:00,6394.11,,,0,=B22-C23
2018-06-15 23:00:00,6396.86,=D23/E23,=SUM(B2:B22),21,=B23-C47
2018-06-15 22:00:00,6439.195,,,0,=B24-C47
2018-06-15 21:00:00,6487.595,,,0,=B25-C47
2018-06-15 20:00:00,6524.86,,,0,=B26-C47
2018-06-15 19:00:00,6552.09,,,0,=B27-C47
2018-06-15 18:00:00,6548.385,,,0,=B28-C47
2018-06-15 17:00:00,6555.515,,,0,=B29-C47
2018-06-15 16:00:00,6559.71,,,0,=B30-C47
2018-06-15 15:00:00,6545.705,,,0,=B31-C47
2018-06-15 14:00:00,6524.05,,,0,=B32-C47
2018-06-15 13:00:00,6506.54,,,0,=B33-C47
2018-06-15 12:00:00,6519.62,,,0,=B34-C47
2018-06-15 11:00:00,6559.09,,,0,=B35-C47
